date,High esg_sp,Low esg_sp,High Innovation,High Adaptation-change,High Upskilling,High Advocacy,Low Advocacy
2021-03-31,0.1897776022183028,0.20361829824701183,0.2636130045483039,0.6153851424731196,-0.26009466236182,-4.8696232548717244e-05,0.2178445535417557
2021-04-30,0.2734432469964301,0.28609100404301824,0.2592470209020009,0.6931131640751491,-0.27929735197077565,-0.06443695406685229,0.2837164835802743
2021-05-28,0.30029796900723,0.19195807628547512,0.2505430493366784,0.7492338965057892,-0.15546612893674389,-0.024200591739410388,0.2669972365566807
2021-06-30,0.25820083230498614,0.13695212929780037,0.17062719649637206,0.7083177961129496,-0.22502153505533234,-0.12070305716175678,0.1981324751767887
2021-07-30,0.22633861570782313,0.17183260794187383,0.18711416203744982,0.6673639428393362,-0.18933890882988197,-0.2235783025688645,0.19783294544039123
2021-08-31,0.2650260806321522,0.11041964392276182,0.14414072975806635,0.7446419745576198,-0.16508267698149315,-0.2510337482759626,0.3041687322717343
2021-09-30,0.14215086249672243,0.08883477293443465,0.025574622159115434,0.5749891477817568,-0.14513451780391573,-0.3812194552347428,0.16729531876424708
2021-10-29,0.10754748152537508,0.03686007796234725,-0.04505990197207921,0.5069813566081152,-0.1158749773802108,-0.3448770760498493,0.1251205603896589
2021-11-30,-0.051604412719026715,0.10469267587184172,-0.06315461574810288,0.5044949006170272,-0.1936032190475867,-0.4201248621760573,0.1172323055812643
2021-12-31,0.03300573334986934,0.08664097138927251,0.047520579741131885,0.5946115631210466,-0.2531366188004722,-0.29051291319988937,0.12435261705712652
2022-01-31,-0.0775800291098685,-0.11868723225688949,-0.0771279116647684,0.46777182569614584,-0.29716504129768995,-0.34018914661058697,0.08924775118544848
2022-02-28,-0.14257128720672563,0.01068431801608205,-0.01198840346650365,0.49682930565238004,-0.08767674825920113,-0.25497231466708237,0.21471693758875898
2022-03-31,-0.40538780474676,0.12123724263124103,-0.23681188977596634,0.48332271377298375,-0.09517116480863419,-0.25450133574768863,0.2883052095237121
2022-04-29,-0.3535619989846209,0.09600549506356809,0.01753549994185899,0.4095660360709145,0.03842161607924677,-0.193545836331514,0.4376726781603131
2022-05-31,-0.4838877531583061,0.022389540230366822,-0.061959503566142715,0.3728410113866327,-0.08457467915133321,-0.35888209722564823,0.30551527748340557
2022-06-30,-0.3703611646188463,0.11316826673836061,0.08891005073226424,0.2162162591843697,0.07440766076745355,-0.14755630484865026,0.27774314835420916
2022-07-29,-0.3640667904226056,0.1492647377950393,0.019411277334941135,0.2765354120988925,0.1302315347636429,-0.08281059957500414,0.36078506080694894
2022-08-31,-0.31294148201250604,0.33162740104824395,0.05073889686817265,0.4286814536225002,0.21867762344811675,-0.14913701346015337,0.39274225430953225
2022-09-30,-0.36675751066585627,0.27119457728183194,-0.17894906558651194,0.3436322577261224,0.22071876754533207,-0.3599254547292934,0.2337248264502825
2022-10-31,-0.37587543982257793,0.23160034978528843,-0.3095463622860554,0.24868431891243042,0.2732159183241649,-0.40548870104957924,0.1752541683537563
2022-11-30,-0.29723947672334955,0.31399113139642837,-0.27192222534008326,0.27084625157735664,0.30209276798598184,-0.28552415128790565,0.19052245909431748
2022-12-30,-0.1686539388322344,0.4832056045647779,-0.2011282750719626,0.37704696696588624,0.3736953275342052,-0.28830733658037405,0.20000287671867942
