direct_control,cyear,SP_ISIN,ids,scope1_abs,scope2_loc_abs,scope3_down_abs,scope3_up_abs
149941.365,2022,GB00BK9RKT01,100060,,,,
,2002,,100080,4380340.646360364,2528303.91625621,,16253654.03493144
,2003,,100080,4955106.490521771,2847919.287896094,,16386491.29115081
,2004,,100080,5146435.790282072,3197964.295280324,,17047547.56234092
,2005,,100080,3895438.77504833,1520229.75900281,,10799460.60282255
,2006,,100080,4100189.18544296,2690262.449999995,,10407097.12267777
,2007,,100080,3911902.332094494,3780364.509999947,,11621558.67294903
,2008,,100080,4010110.917059325,3570000.000000004,,13627487.02442346
,2009,,100080,4598663.479999991,3597310.949999878,,10048842.38894292
11533522.5951358,2010,DE000BAY0017,100080,4813644.360521776,3703770.325855606,,10046571.80976835
11651918.7986624,2011,DE000BAY0017,100080,4230842.023800001,3924159.260540714,,10828316.07351026
11792834.1031476,2012,DE000BAY0017,100080,4222236.0553,4119999.99999996,,10831891.90706453
11612918.2997872,2013,DE000BAY0017,100080,3931855.899346594,4290000.000000021,,10720071.45674933
11921575.0731572,2014,DE000BAY0017,100080,4020000.0012,4700000.000000033,,10881029.10295444
12262361.4079648,2015,DE000BAY0017,100080,4409999.713600003,4940000.000000024,,9704206.812555533
12717901.802,2016,DE000BAY0017,100080,4302921.433,5032445.497,,11079071.679
5292913.219,2017,DE000BAY0017,100080,2503373.005,1297790.536,9.0202255936185,5782743.487
7403173.455,2018,DE000BAY0017,100080,3903508.343,1640000.0,10.0815492137747,7072078.982
6112647.614,2019,DE000BAY0017,100080,2007588.041,1771407.398,14.72885615875386,7766286.368
5784541.283,2020,DE000BAY0017,100080,1997000.0,1750000.0,11.84700814845067,7363971.646
5793665.321,2021,DE000BAY0017,100080,1930000.0,1560000.0,7.423904860640246,8631148.515
5425489.637,2022,DE000BAY0017,100080,,,,
,2002,,100083,121332.05885896,125289.7742619909,,1978150.571738668
,2003,,100083,142810.1547780691,141811.7252952504,,2081326.414437496
,2004,,100083,147146.6141646486,100081.3978603255,,1775755.715390092
,2005,,100083,130665.335050342,83057.1783558624,,1430571.12876041
,2006,,100083,28898.42696336,82296.15999995012,,1538171.750014937
