date,Market,High esg_sp,Low esg_sp,High customers,High suppliers,High employees,High communities,Low communities
2020-04-30,1.394928748610735,1.3463037608814798,1.2104931357398196,1.396509998264236,1.1122470020348327,1.1523025469320172,1.3715303066783695,1.297559827095775
2020-05-29,1.471091858284881,1.4060891823688921,1.291581178745681,1.470050916309322,1.171739445072187,1.2268904822074587,1.4515807077911083,1.384047884832006
2020-06-30,1.5069864996270321,1.4036672634337086,1.2946195757266172,1.492824110176296,1.1947014839013803,1.2384487862061007,1.4676996543334633,1.4123148051486927
2020-07-31,1.5931861274056982,1.4684476986665003,1.3764603161236835,1.5878489859492602,1.2337692310750383,1.3039167063928712,1.5575863241692067,1.505022861102896
2020-08-31,1.7118784938974227,1.560103455688356,1.413242627302721,1.673639664690135,1.301984608352276,1.359356969562537,1.631664813655783,1.5636959593989768
2020-09-30,1.6493949288701668,1.5086143508003178,1.3949165540723372,1.630592120746213,1.2633780658886797,1.3356108394930726,1.5990585454100117,1.5362343447109368
2020-10-30,1.6147576353638933,1.4898553753299835,1.4026462467502494,1.6218434031981066,1.2368951151601761,1.3440585973235804,1.6037365894972866,1.5406720406415229
2020-11-30,1.8172482428385255,1.6688754841581512,1.6037590290873105,1.8361257863392308,1.389169370824474,1.5367032349645253,1.837952432085215,1.753012962564582
2020-12-31,1.9010233868333815,1.707997934132931,1.6841981491640339,1.9018343644228703,1.4387538552423103,1.6024654093359416,1.9195932806072402,1.8241384900779571
2021-01-29,1.8953203166728814,1.6869272499513877,1.669358981297774,1.8724203396222159,1.433208340941365,1.57748067006651,1.8796736166443275,1.7907606216955538
2021-02-26,1.9557810347747464,1.8011950083383912,1.7874323694248422,1.9708147223796593,1.5020931821082077,1.674665959336386,1.9927175889933224,1.8972125725928473
2021-03-31,2.0246245271988172,1.947305210727952,1.898143029747225,2.1165508945115667,1.612593058893192,1.7893331779044384,2.114963637818939,2.042482004388939
2021-04-30,2.1284877654441163,2.0284429489919154,2.013590504685021,2.213813353646293,1.6645580398016497,1.8793171629235066,2.2191113132403935,2.1278185331768293
2021-05-28,2.1431743310256803,2.085755057536113,2.0362654730059777,2.2447754605532277,1.708420951499908,1.9362582107292536,2.2428404303580574,2.1880235514869715
2021-06-30,2.1926816580723734,2.064827746696811,2.0188069676821927,2.2225599053272003,1.7086150203482455,1.909212434704983,2.2152526531957224,2.1456139478046548
2021-07-30,2.2196516424666637,2.072430968923017,2.0401100140786212,2.25468340464513,1.70697541806165,1.9447554142921981,2.2284128172393327,2.1878883693664175
